City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mahébourg,-20.4081,57.7,78.8,89,40,3.44,MU,1620148377
Yellowknife,62.456,-114.3525,33.8,37,1,11.5,CA,1620148377
Dunedin,-45.8742,170.5036,50.0,94,91,1.01,NZ,1620148227
Ulaangom,49.9811,92.0667,50.88,39,83,11.03,MN,1620148354
Wynyard,-41.0,145.7167,43.0,83,9,4.0,AU,1620148378
Semey,50.4111,80.2275,52.88,41,3,8.59,KZ,1620148378
Karratha,-20.7377,116.8463,79.86,72,98,18.41,AU,1620148378
Mar del Plata,-38.0023,-57.5575,57.2,58,40,16.11,AR,1620148379
George Town,5.4112,100.3354,80.6,94,20,4.61,MY,1620148211
Tilichiki,60.4667,166.1,11.59,92,100,9.35,RU,1620148379
Anadyr,64.75,177.4833,23.0,86,75,2.17,RU,1620148379
Kinablangan,7.6947,126.5503,78.37,86,100,2.3,PH,1620148380
Cartagena,10.3997,-75.5144,89.6,66,40,9.22,CO,1620148338
Galitsy,56.1776,42.8459,48.2,57,40,13.42,RU,1620148380
Te Anau,-45.4167,167.7167,46.83,88,34,4.9,NZ,1620148380
Busselton,-33.65,115.3333,62.01,95,100,1.01,AU,1620148380
Port Elizabeth,-33.918,25.5701,66.2,82,0,5.75,ZA,1620148381
Nikolskoye,59.7035,30.7861,37.4,87,90,8.95,RU,1620148381
Kaitangata,-46.2817,169.8464,48.99,68,62,5.99,NZ,1620148381
Otjimbingwe,-22.35,16.1333,76.26,26,5,3.65,NA,1620148382
El Alto,-4.2714,-81.2147,80.6,57,0,10.36,PE,1620148382
Lompoc,34.6391,-120.4579,69.01,59,13,5.75,US,1620148278
Ribeira Grande,38.5167,-28.7,66.2,82,75,5.75,PT,1620148382
Eastlake,41.6539,-81.4504,66.2,77,90,11.5,US,1620148382
Berlevåg,70.8578,29.0864,35.6,86,75,6.91,NO,1620148383
Touros,-5.1989,-35.4608,75.2,94,75,10.36,BR,1620148383
Jamestown,42.097,-79.2353,66.0,88,90,10.36,US,1620148352
Yumen,40.2833,97.2,53.19,9,47,7.11,CN,1620148383
Tiarei,-17.5333,-149.3333,77.0,73,40,1.14,PF,1620148384
Juneau,58.3019,-134.4197,44.6,81,90,11.5,US,1620148384
Camopi,3.1655,-52.3158,82.22,80,61,3.0,GF,1620148384
Butaritari,3.0707,172.7902,83.03,77,55,17.34,KI,1620148385
Pahrump,36.2083,-115.9839,78.01,9,10,5.66,US,1620148385
Smithers,54.7804,-127.1743,42.8,70,40,3.67,CA,1620148385
Whitehorse,60.7161,-135.0538,41.0,65,75,13.8,CA,1620148385
Bocas del Toro,9.3333,-82.25,69.01,76,95,4.56,PA,1620148386
Tasiilaq,65.6145,-37.6368,32.0,74,1,14.97,GL,1620148386
San Fernando del Valle de Catamarca,-28.4696,-65.7852,52.0,99,100,4.0,AR,1620148386
Srednekolymsk,67.45,153.6833,25.72,94,100,1.99,RU,1620148386
Zimmi,7.3153,-11.3061,80.02,86,100,5.5,SL,1620148387
Bowen,-20.0167,148.2333,66.2,94,40,3.44,AU,1620148387
Khatanga,71.9667,102.5,31.5,83,100,7.94,RU,1620148387
Visby,57.6409,18.296,42.8,81,90,14.97,SE,1620148388
Banda Aceh,5.5577,95.3222,81.34,78,100,3.65,ID,1620148388
Honningsvåg,70.9821,25.9704,35.6,75,75,4.61,NO,1620148388
Sukhumi,43.0033,41.0153,58.35,97,100,3.22,GE,1620148389
Sioux Lookout,50.1001,-91.917,39.2,81,90,5.75,CA,1620148353
Chokurdakh,70.6333,147.9167,29.82,98,100,6.08,RU,1620148389
Hay River,60.8156,-115.7999,42.8,28,20,11.5,CA,1620148389
Poya,-21.35,165.15,70.63,90,0,4.12,NC,1620148389
Pringsewu,-5.3582,104.9744,74.84,97,98,1.01,ID,1620148390
Yeppoon,-23.1333,150.7333,62.6,94,5,2.66,AU,1620148390
Fairbanks,64.8378,-147.7164,48.2,52,75,3.94,US,1620148242
Leningradskiy,69.3833,178.4167,7.11,84,51,5.41,RU,1620148390
Jaciara,-15.9653,-54.9683,92.71,22,65,3.58,BR,1620148390
Angoche,-16.2325,39.9086,73.35,77,4,10.76,MZ,1620148391
Weligama,5.9667,80.4167,77.58,87,100,3.11,LK,1620148391
Lubao,14.9167,120.55,80.6,74,40,4.61,PH,1620148391
Road Town,18.4167,-64.6167,86.0,66,40,11.5,VG,1620148392
Saint-Pierre,-21.3393,55.4781,77.0,88,75,14.97,RE,1620148392
Bedelē,8.456,36.353,57.96,91,91,3.09,ET,1620148282
Northview,43.0456,-85.6006,55.0,71,90,11.5,US,1620148392
Lata,40.1629,-8.3327,62.6,59,0,17.27,PT,1620148392
Kiunga,-6.1219,141.2906,74.68,98,100,1.5,PG,1620148393
Boa Vista,2.8197,-60.6733,77.0,88,75,9.22,BR,1620148393
Buala,-8.145,159.5921,79.39,83,14,3.24,SB,1620148393
Tura,25.5198,90.2201,69.49,89,84,2.71,IN,1620148394
Bambous Virieux,-20.3428,57.7575,79.0,89,40,3.44,MU,1620148394
Vestmannaeyjar,63.4427,-20.2734,42.8,61,20,9.22,IS,1620148394
Itarema,-2.9248,-39.9167,81.75,78,40,10.2,BR,1620148394
Carnarvon,-24.8667,113.6333,62.6,100,75,4.61,AU,1620148172
Hurghada,27.2574,33.8129,93.2,21,0,4.61,EG,1620148133
Montague,42.5356,-72.5351,53.01,81,100,5.48,US,1620148395
Sørland,67.667,12.6934,42.8,39,0,13.8,NO,1620148395
Hobart,-42.8794,147.3294,45.0,87,43,10.36,AU,1620148395
Port Macquarie,-31.4333,152.9167,55.99,99,98,6.69,AU,1620148396
Avarua,-21.2078,-159.775,75.2,73,100,4.61,CK,1620148396
Saskylakh,71.9167,114.0833,28.35,96,100,5.77,RU,1620148397
Port Blair,11.6667,92.75,84.42,76,7,5.91,IN,1620148397
Esperance,-33.8667,121.9,59.0,88,90,16.11,AU,1620148398
Sabang,5.8933,95.3214,84.34,73,100,7.61,ID,1620148398
Berdigestyakh,62.0989,126.6992,32.23,94,100,4.79,RU,1620148398
Shingū,33.7333,135.9833,59.29,85,100,5.14,JP,1620148399
Mitsamiouli,-11.3847,43.2844,80.53,73,89,19.42,KM,1620148399
Baberu,25.55,80.7167,94.98,19,74,5.77,IN,1620148399
Río Gallegos,-51.6226,-69.2181,44.6,57,0,23.02,AR,1620148400
Katsuura,35.1333,140.3,64.99,72,0,13.8,JP,1620148400
Gijang,35.2442,129.2139,66.2,88,90,19.57,KR,1620148400
Dikson,73.5069,80.5464,28.51,93,100,4.94,RU,1620148400
Nishihara,26.1842,127.7558,73.4,88,40,14.97,JP,1620148401
Jamame,0.0722,42.7506,80.49,78,60,10.51,SO,1620148401
Ibrā’,22.6906,58.5334,84.33,42,75,14.81,OM,1620148401
Mehamn,71.0357,27.8492,35.6,69,75,5.75,NO,1620148401
Ouésso,1.6136,16.0517,73.51,94,94,3.78,CG,1620148402
Oussouye,12.485,-16.5469,93.2,69,0,4.61,SN,1620148402
Naryan-Mar,67.6713,53.087,29.71,78,89,9.57,RU,1620148402
Lagoa,39.05,-27.9833,63.12,85,98,10.45,PT,1620148403
Isangel,-19.55,169.2667,77.47,86,15,12.82,VU,1620148403
Talara,-4.5772,-81.2719,80.6,57,0,10.36,PE,1620148403
Batesville,35.7698,-91.641,73.99,73,75,3.44,US,1620148229
Lebu,-37.6167,-73.65,57.81,56,10,5.01,CL,1620148404
Kota Bharu,6.1333,102.2386,80.6,89,20,1.14,MY,1620148404
Yazman,29.1212,71.7446,94.12,20,21,0.54,PK,1620148404
San Quintín,30.4833,-115.95,67.8,63,13,6.33,MX,1620148404
Distrikt Brokopondo,4.75,-55.1667,78.6,78,100,4.92,SR,1620148405
Stokmarknes,68.5646,14.9108,42.8,45,0,8.05,NO,1620148405
Bridlington,54.0831,-0.1919,45.0,81,75,10.36,GB,1620148405
Aitape,-3.1374,142.3475,78.17,84,67,3.31,PG,1620148405
Harper,4.375,-7.7169,81.16,81,100,8.21,LR,1620148406
Kovernino,57.1253,43.8142,40.75,78,85,10.13,RU,1620148406
Acarí,-15.4311,-74.6158,78.48,54,56,10.25,PE,1620148406
Ribas do Rio Pardo,-20.4431,-53.7592,92.7,16,1,6.78,BR,1620148407
Zhezkazgan,47.8043,67.7144,66.88,20,95,11.01,KZ,1620148407
Sitka,57.0531,-135.33,44.6,81,90,8.05,US,1620148407
Bellefontaine,40.3612,-83.7597,64.99,94,90,3.44,US,1620148407
Nome,64.5011,-165.4064,28.4,74,1,3.44,US,1620148408
Mardin,37.3131,40.7436,66.99,53,97,6.62,TR,1620148179
Lukovetskiy,64.2956,41.9211,39.2,48,40,15.66,RU,1620148408
Mount Gambier,-37.8333,140.7667,46.4,81,75,2.35,AU,1620148408
Pisco,-13.7,-76.2167,73.4,68,0,8.05,PE,1620148408
Shagonar,51.5333,92.8,43.68,50,99,14.54,RU,1620148409
Uthal,25.8072,66.6219,84.07,66,20,10.42,PK,1620148409
Matagami,49.7502,-77.6328,48.2,46,90,8.05,CA,1620148409
Rawson,-43.3002,-65.1023,50.94,38,4,7.96,AR,1620148258
Cascais,38.6979,-9.4215,66.99,52,20,23.02,PT,1620148410
Meulaboh,4.1363,96.1285,78.04,89,99,4.03,ID,1620148410
Dire Dawa,9.5931,41.8661,74.52,68,83,1.45,ET,1620148410
Taltal,-25.4,-70.4833,65.77,70,0,6.31,CL,1620148410
Verkhniy Lomov,53.4678,43.5511,42.87,71,62,12.19,RU,1620148411
Senneterre,48.3835,-77.2328,41.0,87,90,10.36,CA,1620148411
Thompson,55.7435,-97.8558,33.8,75,90,5.75,CA,1620148387
Iisalmi,63.5592,27.1907,41.0,38,0,12.66,FI,1620148411
Coquimbo,-29.9533,-71.3436,69.8,43,20,12.66,CL,1620148411
Sawtell,-30.3833,153.1,57.2,94,58,4.61,AU,1620148412
Eenhana,-17.4667,16.3333,73.4,68,16,2.3,NA,1620148412
Nizhnevartovsk,60.9344,76.5531,41.0,75,90,11.18,RU,1620148412
Tibati,6.4667,12.6333,72.79,84,98,4.72,CM,1620148412
Monze,-16.2833,27.4833,60.96,65,73,6.58,ZM,1620148397
San Jose,37.3394,-121.895,75.0,52,1,6.91,US,1620148380
Troitskoye,52.9821,84.6757,44.26,50,87,2.39,RU,1620148413
Huntington,38.4193,-82.4452,71.01,83,75,9.22,US,1620148240
Broome,42.2506,-75.833,70.0,82,90,6.91,US,1620148413
Paka,4.6374,103.4368,75.2,100,100,1.14,MY,1620148413
Provideniya,64.3833,-173.3,28.65,59,4,1.01,RU,1620148414
Tucuruí,-3.7661,-49.6725,89.2,55,93,2.1,BR,1620148414
Marquette,46.5333,-87.6335,45.0,76,100,8.99,US,1620148414
Kieta,-6.2167,155.6333,79.11,85,91,2.82,PG,1620148414
Palafrugell,41.9174,3.1631,64.4,59,0,11.5,ES,1620148415
Los Llanos de Aridane,28.6585,-17.9182,69.8,60,40,13.8,ES,1620148415
Allāpalli,19.4167,80.0667,89.91,30,7,3.69,IN,1620148415
Duliāgaon,27.3667,95.3167,71.73,89,89,3.31,IN,1620148415
Grand Island,40.925,-98.342,57.2,38,1,4.61,US,1620148193
Sahuaripa,29.05,-109.2333,81.25,16,0,3.56,MX,1620148416
Sheregesh,52.9209,87.9869,31.3,97,81,3.13,RU,1620148416
Paamiut,61.994,-49.6678,42.87,56,15,9.4,GL,1620148416
Bintulu,3.1667,113.0333,78.8,94,40,4.61,MY,1620148417
Northam,51.0333,-4.2167,51.01,68,21,14.0,GB,1620148417
Taoudenni,22.6783,-3.9836,101.61,18,59,14.16,ML,1620148418
Arman',59.7,150.1667,30.18,82,22,1.12,RU,1620148418
Port Hedland,-20.3167,118.5667,80.6,78,98,6.91,AU,1620148418
Antalaha,-14.9003,50.2788,77.22,87,14,2.17,MG,1620148274
Catuday,16.2923,119.8062,81.5,75,28,8.23,PH,1620148419
Skjervøy,70.0311,20.9714,37.4,48,0,10.36,NO,1620148419
Khorixas,-20.3667,14.9667,80.85,28,39,8.37,NA,1620148419
Kavaratti,10.5669,72.642,85.51,71,63,6.44,IN,1620148419
Gerāsh,27.6652,54.1371,82.4,23,0,6.55,IR,1620148420
Kiruna,67.8557,20.2251,35.6,64,90,4.61,SE,1620148420
Plettenberg Bay,-34.0527,23.3716,62.73,86,42,7.94,ZA,1620148420
Bajil,15.0584,43.2851,89.6,42,88,6.69,YE,1620148421
Nantucket,41.2835,-70.0995,53.6,94,90,11.5,US,1620148394
Ampanihy,-24.7,44.75,66.61,69,0,8.32,MG,1620148421
Nioro,13.35,-15.75,102.51,13,15,9.98,GM,1620148421
Saint-Philippe,-21.3585,55.7679,78.8,78,75,19.57,RE,1620148421
Methala,10.2166,76.2166,77.0,94,75,2.66,IN,1620148422
Lālganj,25.8667,85.1833,75.2,60,50,12.66,IN,1620148422
Cabedelo,-6.9811,-34.8339,78.8,89,75,8.05,BR,1620148422
Margate,51.3813,1.3862,54.0,51,22,4.0,GB,1620148299
Bandarbeyla,9.4942,50.8122,84.34,74,19,11.5,SO,1620148423
Shelburne,44.0787,-80.2041,53.01,100,100,7.9,CA,1620148423
Port Hardy,50.6996,-127.4199,50.0,81,75,5.75,CA,1620148423
Pevek,69.7008,170.3133,11.61,75,16,8.93,RU,1620148423
Inírida,3.8653,-67.9239,81.41,76,98,2.06,CO,1620148167
Hambantota,6.1241,81.1185,81.18,77,100,2.15,LK,1620148424
Laguna,38.421,-121.4238,77.0,29,1,11.5,US,1620148424
Aklavik,68.2191,-135.0107,19.4,79,90,3.44,CA,1620148424
Kruisfontein,-34.0033,24.7314,66.99,86,67,3.2,ZA,1620148424
Cherskiy,68.75,161.3,11.88,86,17,6.62,RU,1620148425
Ciudad Bolivar,8.1222,-63.5497,85.33,59,100,4.14,VE,1620148425
Richards Bay,-28.783,32.0377,64.47,77,0,4.09,ZA,1620148425
Datong,40.0936,113.2914,45.28,24,0,9.48,CN,1620148425
Assiniboia,49.6334,-105.9845,51.8,32,100,10.36,CA,1620148426
Coyhaique,-45.5752,-72.0662,46.4,66,0,3.44,CL,1620148426
Rocha,-34.4833,-54.3333,61.79,56,50,16.15,UY,1620148426
Maningrida,-12.0667,134.2667,72.41,80,7,8.32,AU,1620148426
Cidreira,-30.1811,-50.2056,75.43,69,90,16.49,BR,1620148427
Fougamou,-1.2154,10.5838,76.77,92,99,4.18,GA,1620148427
Narsaq,60.9167,-46.05,53.6,22,40,35.68,GL,1620148427
Mayskiy,47.6931,40.1025,59.0,29,0,8.95,RU,1620148427
Benton Harbor,42.1167,-86.4542,46.99,93,90,3.44,US,1620148215
San Rafael del Sur,11.8485,-86.4384,77.0,94,40,4.61,NI,1620148428
Vanavara,60.34,102.2797,36.82,99,100,4.0,RU,1620148428
Shenjiamen,29.9576,122.298,61.18,90,100,16.98,CN,1620148428
San Policarpo,12.1791,125.5072,81.0,85,95,13.47,PH,1620148428
Andenes,69.3143,16.1194,41.0,56,0,12.66,NO,1620148429
Dabat,12.9842,37.765,59.99,64,93,1.88,ET,1620148429
Labuhan,-6.8844,112.2051,80.4,81,100,8.41,ID,1620148429
Rio Grande,-32.035,-52.0986,71.6,94,90,6.91,BR,1620148429
Biak,-0.9131,122.8766,77.47,79,87,4.32,ID,1620148430
Russell,32.3502,-85.1999,84.2,70,75,9.22,US,1620148430
Ascension,30.2169,-90.9001,88.0,66,90,12.66,US,1620148430
Assiut,27.181,31.1837,102.2,15,0,17.27,EG,1620148431
Saint George,37.1041,-113.5841,73.0,22,1,3.44,US,1620148242
Sterling,39.0062,-77.4286,82.99,57,75,6.91,US,1620148431
Shimoda,34.6667,138.95,64.99,74,100,3.0,JP,1620148431
Olafsvik,64.8945,-23.7142,39.96,44,2,4.5,IS,1620148431
Ol'ga,43.7444,135.2892,42.49,97,100,9.48,RU,1620148431
Abu Dhabi,24.4667,54.3667,91.4,45,5,9.22,AE,1620148293
Hualmay,-11.0964,-77.6139,72.82,70,94,14.09,PE,1620148432
Yulara,-25.2406,130.9889,60.8,59,100,9.22,AU,1620148432
Port Augusta,-32.5,137.7667,53.6,66,35,11.5,AU,1620148432
Necochea,-38.5473,-58.7368,55.99,60,99,8.01,AR,1620148433
Mandalgovi,45.7625,106.2708,43.32,31,6,6.71,MN,1620148433
Kupang,-10.1667,123.5833,75.79,80,87,8.88,ID,1620148433
Qaqortoq,60.7167,-46.0333,53.6,22,40,35.68,GL,1620148433
Pychas,56.5033,52.4409,57.38,64,100,12.82,RU,1620148434
Mildura,-34.2,142.15,48.2,71,2,9.22,AU,1620148434
Lorengau,-2.0226,147.2712,79.32,82,32,3.71,PG,1620148434
Beisfjord,68.3751,17.5988,41.0,42,0,10.36,NO,1620148434
Nyimba,-14.5566,30.8149,70.57,54,79,5.19,ZM,1620148435
College,64.8569,-147.8028,48.2,46,75,4.61,US,1620148435
Norman Wells,65.282,-126.8329,35.6,75,75,8.05,CA,1620148435
Saint-Leu,-21.15,55.2833,77.0,88,75,14.97,RE,1620148435
Sulangan,11.1373,123.7228,82.67,78,100,16.02,PH,1620148436
Hays,30.0502,-98.0336,77.0,57,52,1.99,US,1620148436
Rock Sound,24.9,-76.2,78.78,74,33,13.69,BS,1620148436
Mehrān,33.1222,46.1646,71.6,26,20,4.61,IR,1620148436
Tuatapere,-46.1333,167.6833,50.0,75,64,4.0,NZ,1620148437
Iqaluit,63.7506,-68.5145,32.0,86,20,4.61,CA,1620148282
Saldanha,-33.0117,17.9442,64.4,72,21,6.91,ZA,1620148437
Praia,14.9215,-23.5087,77.0,61,75,24.16,CV,1620148437
Iquitos,-3.7481,-73.2472,87.8,66,75,4.61,PE,1620148437
Sirsi,14.6167,74.85,75.42,81,99,2.13,IN,1620148438
Achutupo,9.2,-77.9833,82.29,75,79,2.48,PA,1620148438
Monte Patria,-30.6919,-70.9467,69.62,42,8,8.97,CL,1620148438
Nuuk,64.1835,-51.7216,41.0,70,20,10.36,GL,1620148438
Krasnosel'kup,65.7,82.4667,23.81,91,68,6.71,RU,1620148439
Chilliwack,49.1747,-121.9443,55.0,87,96,2.3,CA,1620148439
Pacific Grove,36.6177,-121.9166,63.0,67,1,4.61,US,1620148439
Paita,-5.0892,-81.1144,80.6,57,0,10.36,PE,1620148440
Sobolevo,54.4299,31.8996,43.45,67,96,14.0,RU,1620148440
Forsytheganj,52.6333,29.7333,44.67,71,71,7.47,BY,1620148440
Dhidhdhoo,6.8833,73.1,85.14,68,89,3.13,MV,1620148441
Kumul,42.8,93.45,60.94,7,1,4.5,CN,1620148441
Ola,59.5833,151.2833,28.29,77,12,3.65,RU,1620148441
Fallon,39.4735,-118.7774,66.0,16,20,4.61,US,1620148441
Santo Domingo,18.5001,-69.9886,87.8,62,40,11.5,DO,1620148442
Middletown,39.5151,-84.3983,68.0,100,40,9.22,US,1620148371
Ābdānān,32.9926,47.4198,74.84,22,53,5.86,IR,1620148443
Salihorsk,52.7876,27.5415,45.68,73,96,7.54,BY,1620148443
Pativilca,-10.7,-77.7833,71.76,70,84,13.2,PE,1620148443
Gorom-Gorom,14.4439,-0.2361,106.18,10,25,5.21,BF,1620148268
Barranca,-10.75,-77.7667,71.22,71,86,13.56,PE,1620148444
Sisimiut,66.9395,-53.6735,35.96,73,97,8.14,GL,1620148444
Morón,-34.6534,-58.6198,62.01,55,17,7.0,AR,1620148444
Ancud,-41.8697,-73.8203,57.99,76,20,11.5,CL,1620148444
Waingapu,-9.6567,120.2641,76.68,85,69,6.06,ID,1620148445
Kovdor,67.5662,30.4758,32.16,72,92,7.07,RU,1620148445
Arrecife,28.963,-13.5477,71.6,49,40,19.57,ES,1620148445
Naze,28.3667,129.4833,67.68,89,94,17.87,JP,1620148446
Beringovskiy,63.05,179.3167,20.93,95,94,2.68,RU,1620148446
Talnakh,69.4865,88.3972,25.79,94,100,4.25,RU,1620148446
Brandon,27.9378,-82.2859,93.99,55,40,10.36,US,1620148446
Atar,20.5169,-13.0499,97.38,10,5,14.27,MR,1620148447
Sept-Îles,50.2001,-66.3821,53.6,37,40,12.66,CA,1620148447
Avera,33.194,-82.5271,86.0,62,75,13.8,US,1620148447
Bubaque,11.2833,-15.8333,77.45,70,36,18.14,GW,1620148447
Pascagoula,30.3658,-88.5561,84.99,74,90,10.36,US,1620148266
São Filipe,14.8961,-24.4956,71.26,72,37,11.68,CV,1620148448
Makakilo City,21.3469,-158.0858,73.4,78,20,4.76,US,1620148448
Dīr,35.2058,71.8756,61.68,81,100,3.47,PK,1620148448
Manakara,-22.1333,48.0167,71.47,87,1,2.51,MG,1620148449
Ballina,-28.8667,153.5667,62.6,88,43,4.61,AU,1620148449
Sorong,-0.8833,131.25,79.52,84,95,2.84,ID,1620148449
Omboué,-1.5746,9.2618,79.93,83,100,8.95,GA,1620148449
